City,Period,Mean,Median,SD,SE,Q25,Q75,Min,Max,n
Edinburgh,Pandemic,4.625172890733057,4,2.9748302061438654,0.11063512579025302,3,6,0,20,723
Edinburgh,Post-Pandemic,5.053088803088803,4,3.7530123316062416,0.11660041971448942,3,6,1,40,1036
London,Pandemic,8.329218106995885,6,6.091449111042375,0.2256092263349028,5,10,1,43,729
London,Post-Pandemic,7.90625,6,5.902959317397664,0.17895974095113598,4,9,1,49,1088
Manchester,Pandemic,8.542134831460674,7,5.2223063642786816,0.19571420548358182,5,10,2,41,712
Manchester,Post-Pandemic,8.923809523809524,7,5.175982904867151,0.16837473648134046,6,10,3,37,945
Sheffield,Pandemic,7.782668500687758,6,6.022874397643665,0.22337604691492577,4,10,1,59,727
Sheffield,Post-Pandemic,7.541013824884793,6,5.773350220794589,0.1752721985045447,4,9,1,54,1085
