City,YearMonth,Period,Year,Monthly_Mean,Monthly_SD,n_days
London,2020-07-01,Pandemic,2020,4.096774193548387,1.640220284182939,31
London,2020-08-01,Pandemic,2020,7.206896551724138,5.32097809446472,29
London,2020-09-01,Pandemic,2020,7.066666666666666,4.109982241201111,30
London,2020-10-01,Pandemic,2020,5.064516129032258,2.0483405294850714,31
London,2020-11-01,Pandemic,2020,12.633333333333333,10.89284274138325,30
London,2020-12-01,Pandemic,2020,7.516129032258065,3.863253963020772,31
London,2021-01-01,Pandemic,2021,8.741935483870968,5.195945483005532,31
London,2021-02-01,Pandemic,2021,9.857142857142858,4.283597360771242,28
London,2021-03-01,Pandemic,2021,13.35483870967742,10.088106486012045,31
London,2021-04-01,Pandemic,2021,10.133333333333333,7.271737132181019,30
London,2021-05-01,Pandemic,2021,6.645161290322581,3.4980793501270018,31
London,2021-06-01,Pandemic,2021,7.633333333333334,3.1015383650512947,30
London,2021-07-01,Pandemic,2021,8.161290322580646,4.457927576752441,31
London,2021-08-01,Pandemic,2021,5.161290322580645,1.4628003781229204,31
London,2021-09-01,Pandemic,2021,10.333333333333334,6.660917060882385,30
London,2021-10-01,Pandemic,2021,7.096774193548387,5.002365032060185,31
London,2021-11-01,Pandemic,2021,9.1,4.603971299230473,30
London,2021-12-01,Pandemic,2021,7.838709677419355,4.050487824065544,31
London,2022-01-01,Post-Pandemic,2022,14.923076923076923,8.541302368716737,26
London,2022-02-01,Post-Pandemic,2022,5.964285714285714,2.301080951416865,28
London,2022-03-01,Post-Pandemic,2022,17.774193548387096,13.037662565095413,31
London,2022-04-01,Post-Pandemic,2022,8.966666666666667,4.7740919579526855,30
London,2022-05-01,Post-Pandemic,2022,7.064516129032258,4.202661726977065,31
London,2022-06-01,Post-Pandemic,2022,6.433333333333334,2.1444930810596343,30
London,2022-07-01,Post-Pandemic,2022,5.354838709677419,3.115000129446484,31
London,2022-08-01,Post-Pandemic,2022,7.129032258064516,3.639981094125545,31
London,2022-09-01,Post-Pandemic,2022,6.166666666666667,2.5607559946952807,30
London,2022-10-01,Post-Pandemic,2022,7.193548387096774,2.2571273016633286,31
London,2022-11-01,Post-Pandemic,2022,7.533333333333333,4.166643678097503,30
London,2022-12-01,Post-Pandemic,2022,12.35483870967742,8.167204283379448,31
London,2023-01-01,Post-Pandemic,2023,10.67741935483871,10.196035493511497,31
London,2023-02-01,Post-Pandemic,2023,11.714285714285714,9.525237988111307,28
London,2023-03-01,Post-Pandemic,2023,6.5,2.529140510951879,30
London,2023-04-01,Post-Pandemic,2023,9.5,5.184526048235035,30
London,2023-05-01,Post-Pandemic,2023,7.741935483870968,2.54254127381096,31
London,2023-06-01,Post-Pandemic,2023,8.733333333333333,4.306637486111597,30
London,2023-07-01,Post-Pandemic,2023,4.580645161290323,1.6688158186448079,31
London,2023-08-01,Post-Pandemic,2023,4.903225806451613,3.0150161824847905,31
London,2023-09-01,Post-Pandemic,2023,9.2,6.525282395791586,30
London,2023-10-01,Post-Pandemic,2023,6.258064516129032,2.489548043795418,31
London,2023-11-01,Post-Pandemic,2023,6.666666666666667,2.783366026375548,30
London,2023-12-01,Post-Pandemic,2023,5.967741935483871,3.1568324944237163,31
London,2024-01-01,Post-Pandemic,2024,7.516129032258065,3.118450125109539,31
London,2024-02-01,Post-Pandemic,2024,5.206896551724138,2.1774708517784633,29
London,2024-03-01,Post-Pandemic,2024,9.483870967741936,8.241646145206412,31
London,2024-04-01,Post-Pandemic,2024,4.666666666666667,1.5610194134588469,30
London,2024-05-01,Post-Pandemic,2024,8.870967741935484,5.155850628065628,31
London,2024-06-01,Post-Pandemic,2024,5.6,1.975714624094803,30
London,2024-07-01,Post-Pandemic,2024,4.580645161290323,1.7658651052366579,31
